标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布小时,发布天数
华强买瓜，但摄影师是新手,伊介书生,鬼畜剧场,343666,21463,557,514,5254,2553,1562,196,2026-08-01 15:45:12,BV1eH3m6XEhN,2026-08-02,8.246666666666666,0.3436111111111111
我发现了一个诡异的论坛....,某幻君,单机游戏,861546,76905,4254,20629,34688,29782,4287,7363,2026-08-01 08:38:29,BV19wG369Edu,2026-08-02,15.358611111111111,0.6399421296296296
人 类 防 守 精 华,不会剪辑的果子君,篮球,492455,13422,597,687,2920,2267,542,303,2026-08-01 04:00:00,BV19EGM6LELD,2026-08-02,20.0,0.8333333333333334
这是一只美人鱼，你敢和她直视10秒吗？,老番茄,单机游戏,1254741,120915,1550,4529,16800,10065,1265,2843,2026-08-01 04:00:00,BV1ZNGP6BEJT,2026-08-02,20.0,0.8333333333333334
28年前的八仙到底在讲什么？一口气看完童年神剧《东游记》,low君热剧,影视杂谈,564034,16534,1398,2972,5059,3549,2102,1279,2026-08-01 02:26:01,BV1KoGu6uE5M,2026-08-02,21.566388888888888,0.898599537037037
美欧反目：美国离席抗议，法国嘲讽点满,小Q不是导盲犬,社科·法律·心理,650138,34090,2039,4402,5481,2875,796,893,2026-08-01 05:50:48,BV1LCG36dEAx,2026-08-02,18.153333333333332,0.7563888888888889
《原神》角色演示-「公莉：咯咯哒」,金咸鱼,手机游戏,516683,53091,2846,1826,9225,6427,19995,102,2026-08-01 05:29:37,BV1VUG36pE75,2026-08-02,18.50638888888889,0.771099537037037
边牧,潘宏爱玩狗,汪星人,609927,68880,894,690,2143,2417,1039,199,2026-08-01 11:07:09,BV1ffGG6eEfF,2026-08-02,12.880833333333333,0.5367013888888889
当你偷偷开创造和朋友玩MC会发生...,安坤哒,单机游戏,1521083,16797,98,1967,7975,728,78,181,2026-08-01 03:05:00,BV1JJGA6gEEe,2026-08-02,20.916666666666668,0.8715277777777778
海绵宝宝大战僵尸day1，海绵宝宝射手,铜锣戏语,单机游戏,298241,12493,442,96,2444,743,342,96,2026-08-01 10:11:13,BV14HGV6UESe,2026-08-02,13.813055555555556,0.5755439814814814
《你看到没？》,嘞是唐孃孃,搞笑,759959,52966,889,262,1562,578,819,89,2026-08-01 10:00:00,BV1m4GP6WEhX,2026-08-02,14.0,0.5833333333333334
【明日方舟】予愿安洁莉娜实战测评：实力为超大杯上！让我们再一次喊出新神已至！强烈推荐抽取！,人好嘴甜凯尔希,手机游戏,477740,21806,4723,2405,3052,3451,2717,858,2026-08-01 15:32:29,BV1a43m6JE15,2026-08-02,8.45861111111111,0.3524421296296296
只有三句话的婚礼。,橙飞一下,美食记录,888036,34924,2567,1454,3025,6772,2393,359,2026-08-01 10:00:06,BV1WtGV6yEMF,2026-08-02,13.998333333333333,0.5832638888888889
把童年看过的炸裂书拍成炸裂短片,四夕小田木_,小剧场,515752,21280,644,755,3396,3351,965,425,2026-08-01 04:00:00,BV18dGw6dEMN,2026-08-02,20.0,0.8333333333333334
【速凌】我不会把她一个人留在电影院，或者航天基地。,高司令-速凌电竞,单机游戏,2360203,80470,1543,3500,32891,4772,986,396,2026-08-01 07:36:21,BV1BdGg6ZEC6,2026-08-02,16.394166666666667,0.6830902777777778
关于彩礼这事……,ENX叉叉酱,同人·手书,899530,126914,4373,315,12241,8101,1923,64,2026-08-01 11:00:00,BV1SVG36LEwo,2026-08-02,13.0,0.5416666666666666
cos大陀螺55秒拉双闸让全图人6分一起撤离是什么体验？,李谋Leemou,网络游戏,940230,62122,481,856,8666,702,1070,261,2026-08-01 05:00:34,BV1YcGu62E7W,2026-08-02,18.990555555555556,0.7912731481481482
久等啦~欢迎收看新系列！,是许木木啊,日常,706503,78926,2534,4572,17777,13878,2279,993,2026-08-01 09:30:00,BV1WHGu6AEQg,2026-08-02,14.5,0.6041666666666666
【咕嘎饭馆】酸酸甜甜锅包肉！,陈千语Sama,综合,264432,35067,452,530,4819,3765,942,84,2026-08-01 23:00:00,BV1sy3S61EkU,2026-08-02,1.0,0.041666666666666664
关于鼠鼠怎么活到现在,wzbxlmzhnq,手机游戏,433101,64668,3841,2308,6425,48571,461,214,2026-08-01 08:45:36,BV1DaGg65EpL,2026-08-02,15.24,0.635
兄弟，我帅的要命！,是橘长呀,网络游戏,402493,16866,371,528,1298,1342,169,492,2026-08-01 02:00:00,BV18dGw6dErj,2026-08-02,22.0,0.9166666666666666
⚡梦到三角洲高空跳伞入场动画⚡致敬汶川地震伞降勇士！【八一特辑】,星野童,网络游戏,141408,28280,336,1671,8223,1664,419,102,2026-08-01 10:00:00,BV1hjgv6yEup,2026-08-02,14.0,0.5833333333333334
我把B站改造成了解谜游戏【雀室逃脱2】,在下乌鸦有何贵干,单机游戏,283673,17073,451,941,3702,3277,199,650,2026-08-01 03:02:27,BV1xJGu6eEEY,2026-08-02,20.95916666666667,0.8732986111111112
外国鼓手第一次听“山海”,即兴鼓研社,演奏,106550,7571,397,932,2627,4552,1089,2782,2026-08-01 12:30:00,BV1HaG36PEju,2026-08-02,11.5,0.4791666666666667
八一建军节 手绘3D军帽,何咏墨,绘画,168544,38237,233,225,2084,1252,214,77,2026-08-01 05:15:39,BV1aAGu6LEbA,2026-08-02,18.739166666666666,0.780798611111111
“你可能不知道忧郁是什么感觉，但你一定听过这些歌”,是青橘啦,音乐综合,217955,27942,418,593,32035,1718,451,1959,2026-08-01 06:55:17,BV127G36CE1g,2026-08-02,17.078611111111112,0.7116087962962964
宫斗时代！圣枪哥半路被踢，KT爆发内讧，Jiejie三入涅槃，WBG巨大投入恐成今年最大怨种【赛事周刊】,LOL丶诺诺,电子竞技,305116,7551,1672,1930,1586,1057,194,899,2026-08-01 10:38:18,BV1EzGV6TE3u,2026-08-02,13.361666666666666,0.5567361111111111
全新5060TI重大车祸！,修电脑的张哥,数码,313322,9975,1981,3802,1226,1184,1616,1057,2026-08-01 04:00:00,BV1ff3b6yE5d,2026-08-02,20.0,0.8333333333333334
这才是铜应该有的更新,Hasoook,单机游戏,236655,11115,1193,1660,3287,636,327,352,2026-08-01 03:45:00,BV1gkGN6AEY7,2026-08-02,20.25,0.84375
拆解2纳米芯片：先进封装与背部供电深度解读,谈三圈,科工机械,109946,7347,537,713,2550,3584,358,913,2026-08-01 11:25:38,BV1ndGG6qEj8,2026-08-02,12.572777777777778,0.5238657407407408
王老菊教你卖血大王,怕上火暴王老菊,单机游戏,327847,16587,1528,2712,4878,13219,554,4819,2026-08-01 09:24:41,BV1mY316qE8j,2026-08-02,14.588611111111112,0.6078587962962964
大 周 礼 时 代(16),诸葛皮皮9527,小剧场,290575,49126,838,1322,2994,2117,406,136,2026-08-01 09:00:00,BV1bNGN6tEYJ,2026-08-02,15.0,0.625
底盘好不好，飞个坡就知道？主动悬架值得加钱上吗？,三驱兄弟,新能源车,497820,14209,164,202,2177,1337,58,738,2026-08-01 04:00:00,BV1ALGN6QEUq,2026-08-02,20.0,0.8333333333333334
【泰拉瑞亚】全图瞬移！失谐矢量传送器电路,混乱沉睡,单机游戏,120859,17477,530,173,4556,3763,3031,339,2026-08-01 01:00:00,BV1xUGA6nEq6,2026-08-02,23.0,0.9583333333333334
广西霸总们爱上我/.,氧化菊,时尚潮流,242379,23407,796,297,1400,1670,1498,62,2026-08-01 09:04:20,BV1YxGg6JEXt,2026-08-02,14.927777777777777,0.6219907407407407
这歌声，有力气！《强军战歌》网友合唱版,央视新闻,日常,168713,37772,497,157,4261,6148,628,109,2026-08-01 04:33:25,BV1fQGM6XEwe,2026-08-02,19.443055555555556,0.8101273148148148
完了，四姐小羊我爱上蝴蝶忍了 茵蒂克丝,4姐小羊,仿妆cos,578350,30882,5997,544,3110,512,10117,43,2026-08-01 10:42:07,BV1C8GV6VEYC,2026-08-02,13.298055555555555,0.5540856481481481
土豆丝炒肉,混的厨-,美食记录,681155,70079,502,168,3921,852,414,42,2026-08-01 03:40:12,BV1E8Gu6oESC,2026-08-02,20.33,0.8470833333333333
我能像梵高一样通关杀戮尖塔2吗,马萨卡卡卡卡,单机游戏,176207,12097,452,425,1974,2297,713,724,2026-08-01 03:00:00,BV1uUGu6yEdL,2026-08-02,21.0,0.875
（知识科普）三角洲新手必须掌握的最基础20个小知识，你不会还不知道吧？,颜心做的cat,网络游戏,111890,10328,404,2182,4186,1897,157,654,2026-08-01 12:30:00,BV1bzGG6EEC3,2026-08-02,11.5,0.4791666666666667
同时让2000条埃及塘鲺，互相合体，最终能否诞生白骨之王？！,蔡武年,小宠异宠,423800,20489,588,1379,6790,4404,271,494,2026-08-01 08:00:00,BV1fD3w6KEEm,2026-08-02,16.0,0.6666666666666666
第三集 莱德 | GTA SA 真人版连续剧,薯条超人CCStray,单机游戏,194256,17909,642,931,4053,10027,956,552,2026-08-01 04:30:00,BV1HqGP6mEXR,2026-08-02,19.5,0.8125
《四驱兄弟》骗了我20年，直到我把真车改成了四驱车,所长Wy,汽车生活,606925,18523,518,798,2767,2296,150,473,2026-08-01 10:25:39,BV1xtGV61Et4,2026-08-02,13.5725,0.5655208333333334
喜欢和客人打成一片的便利店员工,拧不动啊真拧不动,单机游戏,174725,14657,501,2193,4961,1755,236,2989,2026-08-01 13:35:45,BV1KPGG6GEGB,2026-08-02,10.404166666666667,0.43350694444444443
打开心脏：突破生命的终极雷池,大圆镜科普,科学科普,505889,51607,620,1230,5085,1504,469,467,2026-08-01 00:03:30,BV11GGT6hEZi,2026-08-02,23.941666666666666,0.9975694444444444
MC装备竟然变成了抽卡！传说万倍伤害！？ #我的世界 #游戏 #MC,一个小立丶,单机游戏,840527,12622,85,352,8092,541,41,407,2026-08-01 00:30:00,BV15eGN6BEHZ,2026-08-02,23.5,0.9791666666666666
1分钟！教你还原三角洲阿萨拉扑克牌的花式动作！！！,乔治乔治君,野生技能协会,138836,18015,182,831,4757,1153,134,216,2026-08-01 10:00:00,BV1Ei3t6kEhR,2026-08-02,14.0,0.5833333333333334
全网价格最低的成吉思鸡！吃一顿仅需0.7元，比印度还疯狂！,NBzhuoc大,搞笑,286287,15094,455,796,2651,1522,426,542,2026-08-01 10:37:35,BV1HiGV6uEHi,2026-08-02,13.373611111111112,0.5572337962962963
2026年8月1日，分享一首歌！,央视军事,科工机械,293049,61662,890,1527,6706,14053,2111,146,2026-08-01 04:30:00,BV13UGu6yEj6,2026-08-02,19.5,0.8125
这个乐于助人的AI助手逐渐拥有了自我意识【恐怖杂烩汤[6]】,匿名Tian,单机游戏,212570,23617,802,4144,6670,4743,392,845,2026-08-01 08:30:00,BV1buGT6YEKz,2026-08-02,15.5,0.6458333333333334
【特摄吐槽】谁家反派当了几十年火柴人？,不语の说笑人,特摄,290958,22329,742,1223,6002,2773,346,1100,2026-08-01 04:00:00,BV1pHGT6sEPn,2026-08-02,20.0,0.8333333333333334
予愿安洁莉娜的入职测试！【明日方舟】,-碱式碳酸咸鱼-,手机游戏,966321,49057,5217,812,3004,1804,5171,98,2026-08-01 05:05:15,BV1vFGu67Ens,2026-08-02,18.9125,0.7880208333333334
又要上缴利润？韩国会被美国吸干吗？,世界见闻录,人文历史,444274,27391,1794,984,4421,1659,291,639,2026-08-01 10:05:00,BV1D7GP68ECD,2026-08-02,13.916666666666666,0.579861111111111
花重金凑齐全球17款可乐，喝起来差距到底有多离谱？,记录生活的蛋黄派,美食测评,489711,23099,842,721,3112,2989,610,417,2026-08-01 09:30:00,BV1743y6XERB,2026-08-02,14.5,0.6041666666666666
“当全世界都知道你10天后成为超人（9）”,小火猫meme日记,人文历史,393017,26887,1104,451,6942,1356,162,135,2026-08-01 05:44:36,BV1LkG364EGt,2026-08-02,18.256666666666668,0.7606944444444445
威龙“凌霄戍卫”COS！纪念退伍第十二年！战友们八一节快乐！,战辉,日常,1008445,134311,1116,360,6963,3741,610,33,2026-08-01 03:34:00,BV1zaGu6xEjy,2026-08-02,20.433333333333334,0.8513888888888889
始于一位机械少女，终于一位机械少女,醉酒的丘丘人,GMV,108090,14008,367,138,4251,2053,542,189,2026-08-01 11:56:57,BV19uGV6oEpx,2026-08-02,12.050833333333333,0.5021180555555556
太上忘情!凡人文戏藏了多少伏笔?《凡人修仙传》185逐帧解析,利维坦mY,动漫杂谈,430852,29833,3025,2226,2452,9226,578,726,2026-08-01 10:32:01,BV1JiGV6uE1L,2026-08-02,13.466388888888888,0.561099537037037
【歌手2026】尤长靖《如果你也这样过》 一场盛大的孤独,尤长靖,明星综合,411207,8993,2656,3510,3858,8087,1947,314,2026-08-01 04:11:22,BV1B9GM6HE35,2026-08-02,19.810555555555556,0.8254398148148149
【整活】石头剪刀布，但是你先出,植物大战僵尸2,单机游戏,522931,26342,1203,141,1226,588,118,42,2026-08-01 11:00:00,BV1ekGu6UEQf,2026-08-02,13.0,0.5416666666666666
《釜山行》导演新作！全新丧尸会集体进化，是丧尸爽片还是降智烂作？万字拆解《群体》,迷影至下Filmlast,影视杂谈,230250,8428,680,3313,4426,1184,507,4383,2026-08-01 10:00:00,BV1TZGu6BEpJ,2026-08-02,14.0,0.5833333333333334
盛宇yamy打加木翁杰这场是真正的巅峰对决!!!!本场发挥都很不错 这期大家耳朵有福了!!我还是觉得AThree那奇沃夫该赢【艾德宝陪您巅峰第六期上】,ADBABY打你屁屁,乐评盘点,257237,6071,1309,4496,1574,2249,287,2321,2026-08-01 13:52:08,BV1PTGG6gERD,2026-08-02,10.13111111111111,0.4221296296296296
见到朋友爸妈我就这样,粤知一二,搞笑,484455,39589,216,359,1853,974,260,442,2026-08-01 04:00:00,BV1t4GP6sEVn,2026-08-02,20.0,0.8333333333333334
【雾岛学院1x1】自相残杀游戏再度重启，十六位up主如何逃离宿命的循环？「周年纪念篇·上」,安布罗CriStian,单机游戏,200875,22845,4849,34622,15080,13044,1500,4979,2026-08-01 10:00:00,BV1FKGM6sE31,2026-08-02,14.0,0.5833333333333334
淘汰盒皮肤外观？幸运鸟窝规则回忆！三角洲第一代数值怪到底什么水平？黑海北极星测评！,Key725,网络游戏,419274,21947,3169,905,4162,4604,755,296,2026-08-01 12:00:00,BV1tnGV6JEX3,2026-08-02,12.0,0.5
夺舍成功！今天是囚师傅和小文文的日记——《勇闯柬埔寨》第十一集,王师傅の日记,日常,340682,25347,2486,11033,4815,30584,686,3812,2026-08-01 07:50:09,BV1BdGg6ZEsV,2026-08-02,16.164166666666667,0.6735069444444445
【明日方舟】直到大地变成一颗酸橙 全剧情流程实况 杨颜同学,杨颜同学,手机游戏,275398,12755,2097,4064,3990,1863,263,26948,2026-08-01 11:57:14,BV1eNGV68Efv,2026-08-02,12.046111111111111,0.5019212962962963
以身入局，澳门赌场究竟有多可怕？,叶小十同学,社科·法律·心理,320687,15562,3231,1802,5804,3723,2040,866,2026-08-01 02:00:00,BV1dyGF6xEgF,2026-08-02,22.0,0.9166666666666666
300抽0安洁莉娜,百亿亿亿亿,手机游戏,334480,20137,6746,1240,1500,5898,4834,530,2026-08-01 03:57:28,BV1ksGu6cEwt,2026-08-02,20.04222222222222,0.8350925925925926
【怒九】进来被我表白！！,怒九笑,单机游戏,488850,43386,1023,2614,13161,11031,939,1159,2026-08-01 04:00:00,BV1cPGM6dEA7,2026-08-02,20.0,0.8333333333333334
为什么说中华娘小曲的爆火本质是一场恶性盗版事件？,天黑千夜,单机游戏,257022,16531,1071,634,3422,3938,440,466,2026-08-01 03:30:00,BV1SbGM6BEJb,2026-08-02,20.5,0.8541666666666666
珊比的入职测试！【明日方舟】,-碱式碳酸咸鱼-,手机游戏,1022046,46473,2736,570,2358,1397,5305,68,2026-08-01 06:16:19,BV1udG36mEHj,2026-08-02,17.728055555555557,0.7386689814814815
【荣耀梯度排行69】没有手法，全是强度！,月爱,电子竞技,350049,42499,4613,1735,3245,12550,2629,491,2026-08-01 09:19:20,BV1CyGg6KEG4,2026-08-02,14.677777777777777,0.611574074074074
「小白」超前实测REDMI K100 Pro Max：性能到底如何？,小白测评,数码,491642,20295,4110,2404,3849,2329,3481,279,2026-08-01 08:00:00,BV1oyGw6PEJJ,2026-08-02,16.0,0.6666666666666666
【我的幽灵女友官方】#122 得到苍蝇帮助的苏茜,dsand00,同人·手书,565142,51645,270,172,4584,1083,311,50,2026-08-01 13:57:10,BV1R4GG6xEnC,2026-08-02,10.047222222222222,0.4186342592592593
女童基因治疗后死亡，带节奏的报道全都搞错了重点,蓝大侠-遗传学家蓝田,日常,133485,15836,1765,803,4709,13713,1897,1102,2026-08-01 12:12:44,BV1tzGG6EEjU,2026-08-02,11.787777777777778,0.49115740740740743
有什么在阻止我顺利完成这期伟大的杂谈,果蝇轰,手机游戏,229059,29087,1426,946,4154,7437,430,396,2026-08-01 10:58:49,BV1ZcGV6AEEG,2026-08-02,13.019722222222223,0.5424884259259259
【星穹杯】星启模式选手岂不是疯狂坐牢？BP疯狂反转绝对无法预料的比赛走向！AG大战狼队，知更鸟能否打破不胜传说？第十七届星穹杯姬子·启行篇正赛！,谁叫我洋葱,手机游戏,220862,22597,1322,2883,3840,10250,2007,2375,2026-08-01 10:38:43,BV16zGV6TEuM,2026-08-02,13.354722222222222,0.5564467592592592
予愿安洁莉娜 VS 方舟精英BOSS，泰拉人能飞！【明日方舟】,-碱式碳酸咸鱼-,手机游戏,585705,32540,3834,1157,2858,2414,2792,479,2026-08-01 08:51:04,BV1UvGg6GEB1,2026-08-02,15.148888888888889,0.6312037037037037
什么叫冰神真是女娲？,李JOJOJOJO,搞笑,485737,65712,3034,2748,3459,1517,1958,133,2026-08-01 05:55:35,BV1swGG6CEXf,2026-08-02,18.073611111111113,0.7530671296296297
寒冰射手娘化？外冷内热！,庄特纯,单机游戏,290387,21560,1937,655,4505,3191,601,492,2026-08-01 13:03:13,BV1kQGG6uEfw,2026-08-02,10.946388888888889,0.45609953703703704
这就是为什么我愿意相信鼠鼠的原因,阿战-三角洲行动,网络游戏,531913,20124,320,341,3235,716,76,322,2026-08-01 01:05:00,BV1F1GM6ZEop,2026-08-02,22.916666666666668,0.9548611111111112
凌晨你被困在车祸公路，没有活人！但总感觉有人盯着你！,与山0v0,单机游戏,341410,32615,836,1422,7921,7055,219,1013,2026-08-01 07:00:53,BV1JvG36wE4X,2026-08-02,16.985277777777778,0.7077199074074074
恶人自有恶人磨,脱缰凯Kk,小剧场,443164,35603,1715,1394,3687,1254,255,201,2026-08-01 09:43:58,BV1ykGg6qEFF,2026-08-02,14.267222222222221,0.5944675925925925
⚡黑 虎 阿 福 摇 一 摇⚡,爱狂三的星总,鬼畜剧场,140171,18554,451,85,4673,2143,1112,100,2026-08-01 08:39:40,BV1uYGg6yEeE,2026-08-02,15.338888888888889,0.6391203703703704
无奖竞赛：如何从F35坠毁总结出美国又赢了？,波士顿圆脸,社科·法律·心理,488262,34081,2432,4160,3383,1620,535,457,2026-08-01 11:48:54,BV1eKGV6fEzx,2026-08-02,12.185,0.5077083333333333
不是我喜欢的屠夫，直接肘开！,绿豆煮不透,手机游戏,191116,31979,736,213,9785,1315,3350,83,2026-08-01 01:42:09,BV1o7Gg69E6p,2026-08-02,22.2975,0.9290625
王主任：我在无限感受中,应激兄弟1,日常,917997,56467,307,401,5672,619,241,55,2026-08-01 05:00:00,BV154GA6vE1w,2026-08-02,19.0,0.7916666666666666
《魔兽争霸3》，用所有魔法强化1个技能，谁能击杀考哥儿？,公孙雅量,电子竞技,119127,6713,767,2760,626,1831,62,1775,2026-08-09 03:30:00,BV1mHu76WE9L,2026-08-10,20.5,0.8541666666666666
抢节奏还是压遗产？,凉哈皮,手机游戏,129480,11921,471,250,2681,7150,238,466,2026-08-09 03:00:00,BV1Lsuj6YEkd,2026-08-10,21.0,0.875
穿越之我是奥特老六（二）,月光Brave,特摄,26394,4327,474,974,1274,2332,622,647,2026-08-09 08:13:06,BV1w1uy6XEk3,2026-08-10,15.781666666666666,0.6575694444444444
❤️可是4姐小羊觉得菜月昴很热血啊❤️,4姐小羊,仿妆cos,177479,19267,6824,2633,2720,2351,3094,39,2026-08-09 02:36:34,BV1jWuj6PET9,2026-08-10,21.390555555555554,0.8912731481481481
【莱昴】秘密（国王if）,月刺啾,MAD·AMV,65659,15682,1757,695,6578,7495,850,66,2026-08-09 03:56:19,BV1n5uj6gEJS,2026-08-10,20.06138888888889,0.8358912037037037
我给环卫工送水，跑完了3公里,L泓帆,日常,40378,9538,344,184,865,5428,142,209,2026-08-09 06:04:46,BV1U9u16KE7H,2026-08-10,17.920555555555556,0.7466898148148148
【翻唱】『且听风吟』风会告诉你，远方何处去,思诺snow,翻唱,57730,10989,1091,308,2501,9853,626,268,2026-08-09 05:00:00,BV1pvub65EaY,2026-08-10,19.0,0.7916666666666666
第666枚核弹，献给我最爱的122炮重坦杠二,彗殒_Starfall,网络游戏,89170,12353,772,833,1356,1901,395,469,2026-08-09 04:00:00,BV1kEGN6UEJj,2026-08-10,20.0,0.8333333333333334
【人森】用两个AI捏人，竞争傲娇粪！,里昂聊游戏,单机游戏,47480,5746,613,3822,1825,876,91,2101,2026-08-09 07:48:49,BV1EQuy6UE9e,2026-08-10,16.18638888888889,0.6744328703703704
我花了1600做了个新发型，你们来给我打个分儿。。,王师傅の日记,日常,125592,7477,1593,5791,714,4097,214,825,2026-08-09 04:02:53,BV1n7uj6MEyi,2026-08-10,19.951944444444443,0.8313310185185184
旱灾、火灾、河水减少、电力紧缺，2026年欧洲太刺激了,肝帝董佳宁,社科·法律·心理,90327,8942,450,837,1319,757,67,861,2026-08-09 02:41:11,BV1qsuj6YEuS,2026-08-10,21.31361111111111,0.8880671296296296
直到大地变成一场演唱会,苦力怕到此一游,网络游戏,96213,11320,469,124,981,601,334,71,2026-08-09 06:00:00,BV16Euj6qEMC,2026-08-10,18.0,0.75
穷玩车，富玩表，顶富还得玩大头儿子天天乐跑【周余】,不知所措的周余,动漫杂谈,67857,6254,312,360,1390,820,115,243,2026-08-09 03:45:00,BV19KuL6dE71,2026-08-10,20.25,0.84375
能忍住不抽的是这个👍,银发の半精灵,MAD·AMV,51618,8491,81,206,1007,634,514,82,2026-08-09 06:25:11,BV1amu16gEdx,2026-08-10,17.580277777777777,0.7325115740740741
打牌第一步先烧牌？死了还能留遗物的卡牌肉鸽！什么叫前辈的尸体在说话？,钓钩钧XJ,手机游戏,67619,6201,111,78,1140,1231,228,448,2026-08-09 04:00:00,BV1r4u36dEpg,2026-08-10,20.0,0.8333333333333334
光之呼吸最终型-迪迦奥特曼 无惨的末日,磷火动漫,同人·手书,76810,6254,459,2000,2277,1849,113,725,2026-08-09 03:00:00,BV1VAu36VEJK,2026-08-10,21.0,0.875
除了学习什么都学的舅舅！！四十七集,猫meme电影院,配音,35116,4931,246,372,790,1299,25,320,2026-08-09 07:45:13,BV1XGu768EVK,2026-08-10,16.246388888888887,0.6769328703703703
【明日方舟】夏活“直到大地变成一颗酸橙”TO-EX1~8低配平民攻略！操作轻松+语音详解的愉悦攻略！《明日方舟》|魔法Zc目录,魔法Zc目录,手机游戏,91444,6695,393,188,889,1771,203,1413,2026-08-09 04:00:00,BV11WuL65EE6,2026-08-10,20.0,0.8333333333333334
他把卡车撞死了😭😭,快乐的台长,日常,419851,7106,140,165,1879,700,152,237,2026-08-09 04:00:00,BV1MHu76sEEY,2026-08-10,20.0,0.8333333333333334
豆瓣9.2分！真·神级犯罪推理综艺，你能猜到凶手吗？！,竖了个三,影视杂谈,57003,2923,118,298,1564,1388,55,2114,2026-08-09 03:00:00,BV1DGuL6QEgj,2026-08-10,21.0,0.875
【如懿传吐槽25】大如誓死守护婆婆！渣龙永远追随主人！寒宫祭祀烧假纸 海兰孕育大棋子,衰兰送客咸鸭蛋,影视杂谈,29149,3103,416,860,646,1741,51,1805,2026-08-09 07:58:48,BV1oRuy61EwM,2026-08-10,16.02,0.6675
BLG官宣Flandre加入,英雄联盟赛事,电子竞技,476489,10427,6549,411,773,832,11325,32,2026-08-09 06:44:13,BV1KLu16AEvV,2026-08-10,17.263055555555557,0.7192939814814815
⚡进 来 挨 电⚡你能忍受铁道双子的洗脑么⚡⚡⚡⚡⚡⚡⚡⚡⚡⚡BA接力第1棒！【bilibilionly同人扶持计划】,莉可Kurisu,鬼畜调教,218716,33053,952,934,25868,4437,2130,75,2026-08-09 04:00:00,BV19Bun6gE2B,2026-08-10,20.0,0.8333333333333334
梨诺：挂机流辅助，电诀抢着要！干员实战攻略，武器装备潜能配队全面测评,让你爱上学习,手机游戏,280621,7639,3609,1045,3029,1760,737,1598,2026-08-09 04:00:00,BV1twuj6EEYf,2026-08-10,20.0,0.8333333333333334
美国最脆顶级炸鸡店！2块钱一块！1桶5斤有多离谱？,子文又饿了,美食侦探,52780,4487,227,791,955,856,162,638,2026-08-09 09:00:00,BV1Neug6AESU,2026-08-10,15.0,0.625
【终末地】梨诺首发攻略！奶量+超高增幅！庄方宜诀喝大汤！技能武器+装备配队+操作思路+基质升级差距+抽取建议！小偶像梨诺全方位强度养成攻略！明日方舟终末地,梦轩dada,手机游戏,188608,7907,1294,225,1693,1258,183,266,2026-08-09 04:00:00,BV1bfuL6nEi1,2026-08-10,20.0,0.8333333333333334
这是”轨道炮“陷阱！,幕川北,单机游戏,323842,27438,589,1197,3583,3240,201,571,2026-08-09 02:00:00,BV1ZRuG6xEGK,2026-08-10,22.0,0.9166666666666666
什么破枪，怎么步枪伤害和手枪差不多【亡者世界】,磊哥游戏,单机游戏,434432,44979,1264,836,2977,3811,483,350,2026-08-09 01:00:00,BV1yNu56BEAp,2026-08-10,23.0,0.9583333333333334
多少友谊能长存,马哥巨离谱,搞笑,136406,13572,679,653,1312,5986,467,547,2026-08-09 06:19:22,BV1PruG6KEb9,2026-08-10,17.677222222222223,0.736550925925926
日本右翼的“核爆”牌 洗不掉当年欠下的血债,央视新闻,日常,165495,15662,661,408,872,641,214,348,2026-08-09 01:24:47,BV1PSuj6jEXE,2026-08-10,22.586944444444445,0.9411226851851852
“当全世界都知道你10天后成为超人（17）”,小火猫meme日记,人文历史,159131,13301,631,424,2754,749,68,126,2026-08-09 06:27:55,BV1Q1u16rESJ,2026-08-10,17.53472222222222,0.7306134259259259
差点以为要被拐了…这么偏僻的海岛上还有这种表演？【vlog24】,兔兔不会秃秃,日常,182705,14872,736,513,3867,2207,149,441,2026-08-09 04:18:53,BV1wGuj6kEga,2026-08-10,19.685277777777777,0.8202199074074074
「普瑞赛斯｜核心危机」,水霓代子想当欢乐企鹅,同人·手书,97531,13840,414,139,5511,4702,1198,232,2026-08-09 01:00:00,BV1Miu567Epu,2026-08-10,23.0,0.9583333333333334
【速凌宇宙】第二十四集：来的时候也没人告诉我巴别塔这么热闹啊！,高司令-速凌电竞,单机游戏,296346,28109,956,6010,8146,5915,518,572,2026-08-09 03:53:15,BV1p5uj6gEuR,2026-08-10,20.1125,0.8380208333333333
球球了，我平时好像不长这样啊啊！！,柯洁,影视剪辑,903915,142816,7053,814,4637,4167,5851,21,2026-08-09 05:27:33,BV1EVu26pEj3,2026-08-10,18.54083333333333,0.7725347222222222
【TOP演唱会】难听的高音就算捂住耳朵也会从缝隙钻进来,接二连珊妄想症,娱乐杂谈,99981,12158,916,4801,1758,3331,1099,767,2026-08-09 09:30:00,BV1c1uy6XE5V,2026-08-10,14.5,0.6041666666666666
《明日方舟：终末地》梨诺EP - Mirairo Rider,明日方舟终末地,手机游戏,814394,55261,6583,3485,13038,18236,9041,964,2026-08-09 03:00:00,BV16euL6qETC,2026-08-10,21.0,0.875
【独家】牧神记 第95集 皇帝“驾崩”,哔哩哔哩国创,国产动画,1630063,20369,894,6276,2256,18079,116,1284,2026-08-09 03:00:01,BV1dSuM6VERb,2026-08-10,20.99972222222222,0.8749884259259259
