标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布小时,发布天数
全随机上段#37,赵小天咯,手机游戏,293022,19129,541,1807,3096,3084,158,973,2026-07-25 10:05:00,BV1yQgi6zEG3,2026-07-26,13.916666666666666,0.579861111111111
【万字解析】百元剃须刀直接干翻千元档？买对不买贵！全价位电动剃须刀测评推荐，舒适、效率全都要！刮胡刀/旋转式剃须刀 /往复式剃须刀/飞利浦/有色/飞科/松下,电动剃须刀推荐,数码,83328,1653,116,169,1298,2080,239,730,2026-07-25 09:00:00,BV1HGge6bEDX,2026-07-26,15.0,0.625
🤪“鲁鲁爱情物语”😍,沙雕Sanscul,影视剪辑,247393,18591,475,768,6354,3048,500,486,2026-07-25 05:49:32,BV1DJ3u66EBr,2026-07-26,18.174444444444443,0.7572685185185185
拯救同桌于戒网瘾学校……,小橙猫me,音乐综合,142059,15509,401,448,5360,656,158,248,2026-07-25 09:30:00,BV1ds3K6zEyq,2026-07-26,14.5,0.6041666666666666
【传奇锻刀王】🔪请你任选三种小料制作西瓜砍刀🔧然后进入决赛做出绝世宝剑⚔️,-超级小能猫-,搞笑,288602,20582,424,1581,4288,2017,226,1203,2026-07-25 09:00:00,BV1Mw3M6PENd,2026-07-26,15.0,0.625
咒术转盘71:依旧神人云集，依旧受肉重生者,毓彧庾,日常,164524,20865,2382,3859,3365,2578,377,1090,2026-07-25 16:04:37,BV1Pj3G6gESr,2026-07-26,7.923055555555556,0.33012731481481483
傲慢之罪,91坤崽,日常,615686,19140,125,135,9393,888,95,118,2026-07-25 06:30:29,BV1223M6AE9f,2026-07-26,17.491944444444446,0.7288310185185186
【崩坏星穹铁道】动画——启行于寂灭之中,-麦粒太太-Ver-,同人·手书,127849,32529,353,50,7852,6110,569,42,2026-07-25 07:00:00,BV1BK3u6JEpY,2026-07-26,17.0,0.7083333333333334
球 球 大 战,敲萌豹风党,单机游戏,865001,67901,1186,1421,18217,2035,1446,71,2026-07-25 01:25:00,BV1wEgi6AEcB,2026-07-26,22.583333333333332,0.9409722222222222
景德镇申遗成功，如何“打怪升级”？,小Q不是导盲犬,社科·法律·心理,258786,17743,863,408,1978,868,429,701,2026-07-25 07:34:13,BV1Rb3M6yEQN,2026-07-26,16.42972222222222,0.6845717592592592
【自制动画】要来杯咖啡么？,_Chi7_,绘画,120415,49502,349,42,14049,6019,843,14,2026-07-25 10:00:00,BV1FH3M6nE3z,2026-07-26,14.0,0.5833333333333334
诸葛亮：空城计？空蓝计！,木下结草,手机游戏,359918,15494,120,279,1721,2123,296,98,2026-07-25 06:06:51,BV1C93M6tEV9,2026-07-26,17.885833333333334,0.7452430555555556
星铁×Fate深度考据，世界观底层逻辑致敬！这才是联动的意义：4.4补全了Fate里的遗憾,Jerryprpr,手机游戏,227032,24358,1269,876,5103,1126,422,1116,2026-07-25 10:06:57,BV1EM336oEMx,2026-07-26,13.884166666666667,0.5785069444444445
一直在试探打破第四面墙的农场致郁游戏,拧不动啊真拧不动,单机游戏,347077,14531,186,537,6756,984,153,1199,2026-07-25 08:47:35,BV1hf3T6KEjk,2026-07-26,15.206944444444444,0.6336226851851852
拿着鸡毛当令箭，岳父考察就是欠！,招财喵剧组,短片,484601,37788,298,267,1425,1879,247,157,2026-07-25 03:05:00,BV1Qvge6kEAi,2026-07-26,20.916666666666668,0.8715277777777778
这是一副可以撕开的画,叶无趣,绘画,717926,37509,247,152,4924,856,435,93,2026-07-25 11:00:00,BV16Z3M6RE4D,2026-07-26,13.0,0.5416666666666666
【版本解读】爆冷时代？经济至上导致的百花齐放，或许当下史上最好看的LOL赛事版本？,圆某人和四某人,电子竞技,226780,7355,1376,793,1737,1482,344,1114,2026-07-25 12:45:45,BV1wE3g6cET9,2026-07-26,11.2375,0.4682291666666667
极致的暴力美学！勒布朗·詹姆斯生涯扣篮混剪,不会剪辑的果子君,篮球,177346,13642,1860,677,2738,5079,927,298,2026-07-25 12:40:59,BV1WV3g6eEh1,2026-07-26,11.316944444444445,0.47153935185185186
沉浸式护理神秘山海经冰系神兽幼崽,神兽护理院,搞笑,215740,18019,200,400,1679,543,146,106,2026-07-25 10:24:00,BV1wA336cEj3,2026-07-26,13.6,0.5666666666666667
水煎肉类指南：牛肋条/猪五花/鸡翅/香肠,杨光_建厨师,美食制作,240481,9683,600,187,9654,1831,1185,205,2026-07-25 09:05:00,BV1S63M6TE79,2026-07-26,14.916666666666666,0.6215277777777778
我拉着我的主人去集市卖我,-维C动物园-,野生动物,198668,26960,604,551,3691,3991,470,441,2026-07-25 09:59:29,BV1wR3M6ZEs7,2026-07-26,14.008611111111112,0.5836921296296297
【萌黄一槽】金钟罩，木龙盘！千手柱间[侠隐江湖]全技能爆料！,火影忍者手游情报君,手机游戏,1799715,87278,11091,12757,15019,6697,49066,440,2026-07-25 10:00:00,BV1Rg3u62E1d,2026-07-26,14.0,0.5833333333333334
《明日方舟》SideStory「直到大地变成一颗酸橙」活动宣传PV,明日方舟,手机游戏,2016173,81456,7385,6248,12890,19454,9322,452,2026-07-25 11:45:00,BV1bf3T6KE2e,2026-07-26,12.25,0.5104166666666666
年度神剧！凶手为120块狂杀4人，逃亡22年后竟成了文协作家！真实案件改编《悬案》第二案P1,谁是阿WAI,影视杂谈,493191,28539,230,457,5230,640,169,1714,2026-07-25 13:25:07,BV1Ek3u6REHG,2026-07-26,10.581388888888888,0.44089120370370366
OneRepublic:他当时不知道，本尊就在身后…,Real_OneRepublic,音乐现场,342777,34343,344,140,3722,1366,218,179,2026-07-25 08:12:00,BV1Qe3M63Emq,2026-07-26,15.8,0.6583333333333333
那天新艾利都的咖啡厅来了个天才！！法厄同与奇妙咖啡~~~,学长18号,手机游戏,526141,66070,933,418,10631,2713,6108,88,2026-07-25 23:30:00,BV1ej336nEPb,2026-07-26,0.5,0.020833333333333332
【re0/傲慢if】像个笨蛋一样  【bilibilionly同人扶持计划】,-藏卜-,同人·手书,469996,102931,1267,155,40259,22978,3914,33,2026-07-25 12:08:34,BV1hF3g6VEVD,2026-07-26,11.857222222222223,0.494050925925926
